,Region
0,brain
1,gray matter
2,telencephalon
3,cerebral cortex
4,frontal lobe
5,anterior orbital gyrus
6,"anterior orbital gyrus, left"
7,"anterior orbital gyrus, right"
8,frontal operculum
9,"frontal operculum, left"
10,"frontal operculum, right"
11,frontal pole
12,"frontal pole, left"
13,"frontal pole, left, superior aspect"
14,"frontal pole, left, inferior aspect"
15,"frontal pole, left, medial aspect"
16,"frontal pole, right"
17,"frontal pole, right, superior aspect"
18,"frontal pole, right, inferior aspect"
19,"frontal pole, right, medial aspect"
20,gyrus rectus
21,"gyrus rectus, left"
22,"gyrus rectus, right"
23,inferior frontal gyrus
24,"inferior frontal gyrus, left"
25,"inferior frontal gyrus, right"
26,"inferior frontal gyrus, opercular part"
27,"inferior frontal gyrus, opercular part, left"
28,"inferior frontal gyrus, opercular part, right"
29,"inferior frontal gyrus, orbital part"
30,"inferior frontal gyrus, orbital part, left"
31,"inferior frontal gyrus, orbital part, right"
32,"inferior frontal gyrus, triangular part"
33,"inferior frontal gyrus, triangular part, left"
34,"inferior frontal gyrus, triangular part, right"
35,inferior rostral gyrus
36,"inferior rostral gyrus, left"
37,"inferior rostral gyrus, right"
38,lateral orbital gyrus
39,"lateral orbital gyrus, left"
40,"lateral orbital gyrus, right"
41,medial orbital gyrus
42,"medial orbital gyrus, left"
43,"medial orbital gyrus, right"
44,middle frontal gyrus
45,"middle frontal gyrus, left"
46,"middle frontal gyrus, left, superior bank of gyrus"
47,"middle frontal gyrus, left, inferior bank of gyrus"
48,"middle frontal gyrus, right"
49,"middle frontal gyrus, right, superior bank of gyrus"
50,"middle frontal gyrus, right, inferior bank of gyrus"
51,olfactory area
52,"olfactory area, left"
53,"olfactory area, right"
54,"paracentral lobule, anterior part"
55,"paracentral lobule, anterior part, left"
56,"paracentral lobule, anterior part, left, superior bank of gyrus"
57,"paracentral lobule, anterior part, left, inferior bank of gyrus"
58,"paracentral lobule, anterior part, right"
59,"paracentral lobule, anterior part, right, superior bank of gyrus"
60,"paracentral lobule, anterior part, right, inferior bank of gyrus"
61,paraterminal gyrus
62,"paraterminal gyrus, left"
63,"paraterminal gyrus, right"
64,parolfactory gyri
65,"parolfactory gyri, left"
66,"parolfactory gyri, right"
67,posterior orbital gyrus
68,"posterior orbital gyrus, left"
69,"posterior orbital gyrus, right"
70,precentral gyrus
71,"precentral gyrus, left"
72,"precentral gyrus, left, bank of the precentral sulcus"
73,"precentral gyrus, left, superior lateral aspect of gyrus"
74,"precentral gyrus, left, inferior lateral aspect of gyrus"
75,"precentral gyrus, left, bank of the central sulcus"
76,"precentral gyrus, right"
77,"precentral gyrus, right, bank of the precentral sulcus"
78,"precentral gyrus, right, superior lateral aspect of gyrus"
79,"precentral gyrus, right, inferior lateral aspect of gyrus"
80,"precentral gyrus, right, bank of the central sulcus"
81,superior frontal gyrus
82,"superior frontal gyrus, left"
83,"superior frontal gyrus, left, medial bank of gyrus"
84,"superior frontal gyrus, left, lateral bank of gyrus"
85,"superior frontal gyrus, right"
86,"superior frontal gyrus, right, medial bank of gyrus"
