,Region
0,root
1,Basic cell groups and regions
2,Cerebrum
3,Cerebral cortex
4,Cortical plate
5,Isocortex
6,"Frontal pole, cerebral cortex"
7,"Frontal pole, layer 1"
8,"Frontal pole, layer 2/3"
9,"Frontal pole, layer 5"
10,"Frontal pole, layer 6a"
11,"Frontal pole, layer 6b"
12,Somatomotor areas
13,"Somatomotor areas, Layer 1"
14,"Somatomotor areas, Layer 2/3"
15,"Somatomotor areas, Layer 5"
16,"Somatomotor areas, Layer 6a"
17,"Somatomotor areas, Layer 6b"
18,Primary motor area
19,"Primary motor area, Layer 1"
20,"Primary motor area, Layer 2/3"
21,"Primary motor area, Layer 5"
22,"Primary motor area, Layer 6a"
23,"Primary motor area, Layer 6b"
24,Secondary motor area
25,"Secondary motor area, layer 1"
26,"Secondary motor area, layer 2/3"
27,"Secondary motor area, layer 5"
28,"Secondary motor area, layer 6a"
29,"Secondary motor area, layer 6b"
30,Somatosensory areas
31,"Somatosensory areas, layer 1"
32,"Somatosensory areas, layer 2/3"
33,"Somatosensory areas, layer 4"
34,"Somatosensory areas, layer 5"
35,"Somatosensory areas, layer 6a"
36,"Somatosensory areas, layer 6b"
37,Primary somatosensory area
38,"Primary somatosensory area, layer 1"
39,"Primary somatosensory area, layer 2/3"
40,"Primary somatosensory area, layer 4"
41,"Primary somatosensory area, layer 5"
42,"Primary somatosensory area, layer 6a"
43,"Primary somatosensory area, layer 6b"
44,"Primary somatosensory area, nose"
45,"Primary somatosensory area, nose, layer 1"
46,"Primary somatosensory area, nose, layer 2/3"
47,"Primary somatosensory area, nose, layer 4"
48,"Primary somatosensory area, nose, layer 5"
49,"Primary somatosensory area, nose, layer 6a"
50,"Primary somatosensory area, nose, layer 6b"
51,"Primary somatosensory area, barrel field"
52,"Primary somatosensory area, barrel field, layer 1"
53,"Primary somatosensory area, barrel field, layer 2/3"
54,"Primary somatosensory area, barrel field, layer 4"
55,"Primary somatosensory area, barrel field, layer 5"
56,"Primary somatosensory area, barrel field, layer 6a"
57,"Primary somatosensory area, barrel field, layer 6b"
58,Rostrolateral lateral visual area
59,"Rostrolateral lateral visual area, layer 1"
60,"Rostrolateral lateral visual area, layer 2/3"
61,"Rostrolateral lateral visual area, layer 4"
62,"Rostrolateral lateral visual area,layer 5"
63,"Rostrolateral lateral visual area, layer 6a"
64,"Rostrolateral lateral visual area, layer 6b"
65,"Primary somatosensory area, lower limb"
